Information about the 422 Basho elements used in phylogenetic inference,,,,,,,,,,,
Name,ID,Chromosome,Testart (bp),Teend (bp),Nearest Gene,dist to gene,Occ. Freq.,Terminal Branch Length,Size,Recom K ,Gene Density (genes/MB)
BashoII,233,2,9036890,9037755,At2g21045,1004,0.1,0.00748,865,5.171228912,290
BashoII,586,3,8596112,8596972,At3g23810,6434,0.127659574,0.00759,860,5.065739082,230
BashoV,768,1,3771043,3771814,At1g11250,1337,0.424242424,0.00763,769,4.245662934,266
BashoII,773,5,14897452,14898042,At5g37590,3665,1,0.00766,590,5.118520212,202
BashoII,1679,3,7766071,7766619,At3g22050,921,NA,0.00767,548,5.010269101,270
BashoII,24,5,17743651,17744211,At5g44050,215,0.260869565,0.00769,560,4.077917406,243
BashoII,1789,2,11292194,11294241,At2g26650,503,NA,0.00792,2047,5.531142155,240
BashoII,726,4,9111591,9112138,At4g16160,851,NA,0.008,547,6.194577922,244
BashoII,585,2,1347210,1348071,At2g04135,1684,0.096774194,0.00814,861,5.824821005,244
BashoII,399,1,22515460,22517531,At1g60970,546,0.977777778,0.00819,2071,4.721054277,250
BashoI,357,1,11706451,11708811,At1g32430,146,1,0.00822,2358,4.161519188,243
BashoIII,1112,2,2240578,2241225,At2g05940,1546,NA,0.00837,647,3.606589568,209
BashoV,215,3,5379345,5380236,At3g15990,1831,0.166666667,0.00844,889,3.571512254,292
BashoII,1668,4,7034246,7034785,At4g11650,8139,NA,0.00857,539,6.827086436,247
BashoII,340,4,11192287,11193578,At4g21060,30,0.96,0.00859,1291,3.893053318,254
BashoI,361,2,6685534,6687890,At2g15340,754,0.363636364,0.00878,2354,3.490750546,220
BashoI,359,3,12662097,12664456,At3g31350,1171,0.44,0.00879,2357,2.847384775,212
BashoV,416,1,11649245,11649858,At1g32415,344,1,0.00895,611,4.170620492,236
BashoII,1097,5,15593411,15594653,At5g38900,1236,NA,0.00895,1242,4.907184928,258
BashoII,781,4,7154779,7155368,At4g12020,1061,NA,0.00898,589,6.848119045,252
BashoII,787,1,12992976,12993567,At1g35365,853,1,0.00902,591,3.981757919,188
BashoIII,1111,2,2297111,2297757,At2g06020,56,1,0.00903,646,3.50494445,205
BashoIII,1001,4,14978042,14979218,At4g30870,34,1,0.00938,1176,4.454587984,270
BashoII,232,2,10077181,10078042,At2g23770,1335,NA,0.00939,861,5.529581731,236
BashoV,417,1,17627502,17628124,At1g47830,109,0.757575758,0.00945,620,3.947631524,225
BashoII,630,4,8725080,8725653,At4g15290,72,NA,0.00949,573,6.471417246,254
BashoII,1759,5,15899523,15899993,At5g39785,505,NA,0.00952,470,4.802315505,266
BashoII,218,5,13750842,13751723,At5g35550,5883,NA,0.0096,881,5.368203216,180
BashoII,231,2,8179919,8180781,At2g18876,550,1,0.00981,862,4.660409217,257
BashoVI,262,1,28816661,28817069,At1g76720,736,1,0.00999,406,3.291933982,260
BashoV,213,5,7833880,7834776,At5g23250,1386,0.958333333,0.01009,894,4.727284375,242
BashoV,164,4,10870794,10871697,At4g20220,47,0.323529412,0.01015,901,4.290283012,255
BashoIV,1696,4,8421095,8421898,At4g14695,255,0,0.01016,801,6.640065056,242
BashoV,761,4,8768547,8769324,At4g15415,861,0.275862069,0.01019,775,6.44369042,255
BashoII,1671,5,7700642,7701182,At5g23090,1994,0.068181818,0.01022,540,4.696865462,247
BashoIII,576,1,19119954,19121124,At1g51400,1932,NA,0.010229,1170,4.1477802,249
BashoII,806,5,7417336,7417910,At5g22490,476,0.951219512,0.01024,574,4.635129327,250
BashoI,354,5,2603175,2605538,At5g08120,496,0.766666667,0.01027,2361,5.758441103,290
BashoV,211,2,8861455,8862342,At2g20650,225,NA,0.01042,885,5.0808768,297
BashoV,206,4,6911513,6912401,At4g11450,2479,NA,0.01045,886,6.7988933,236
BashoII,1669,2,9235718,9236257,At2g21720,25,1,0.01072,539,5.263759338,284
BashoII,591,5,7488095,7488978,At5g22670,475,0.8,0.0108,883,4.650121825,252
BashoII,884,5,24330869,24331720,At5g60450,1456,NA,0.01099,851,4.920945569,292
BashoII,397,3,17286729,17288797,At3g47040,824,NA,0.01128,2068,2.924627836,266
BashoII,21,4,6115340,6115899,At4g09790,917,NA,0.01135,559,6.46726195,211
BashoII,592,5,15552368,15553240,At5g38790,958,0.4,0.01145,872,4.920733629,250
BashoII,40,3,23096508,23097064,At3g62380,681,0.054054054,0.01167,556,-0.658052232,265
BashoI,360,2,6859749,6862061,At2g15730,786,1,0.01176,2310,3.634210349,234
BashoII,50,1,5862944,5863504,At1g17145,710,0.08,0.01195,560,4.791975659,300
BashoII,778,2,7185511,7186095,At2g16670,1411,NA,0.01203,584,3.901655139,253
BashoII,1732,1,16861073,16861557,At1g44510,798,NA,0.01207,484,3.879808961,197
BashoI,356,5,3114308,3115958,At5g09970,320,NA,0.01208,1648,5.300156697,291
BashoII,661,4,8728401,8730451,At4g15370,272,0.372093023,0.01211,2050,6.469330165,254
BashoII,107,5,17060588,17061128,At5g42640,9666,NA,0.01221,540,4.357281038,254
BashoII,1664,1,16402890,16403441,At1g43560,622,1,0.01248,551,3.852590748,193
BashoVI,511,3,15653902,15654315,At3g43830,799,NA,0.01248,411,2.051509883,200
BashoVII,565,5,13634528,13636654,At5g35400,15058,NA,0.01248,411,2.051509883,200
BashoII,390,5,9962952,9965019,At5g27930,2729,0,0.0125,2067,5.225653648,195
BashoII,771,5,349813,350406,At5g02030,727,1,0.01295,593,9.516503543,256
BashoV,1574,5,15732176,15732902,At5g39240,1945,NA,0.01299,724,4.86046046,259
BashoII,388,5,17792968,17795028,At5g44160,228,1,0.01306,2060,4.057752435,239
BashoII,227,3,16545403,16546277,At3g45160,488,0.930232558,0.0132,874,2.417098777,222
BashoII,422,5,17813366,17814010,At5g44300,1652,0.083333333,0.01339,644,4.04942109,238
BashoII,1731,1,26372545,26373028,At1g69980,2125,NA,0.01341,483,4.621969585,252
BashoIII,459,4,15816060,15816688,At4g32790,1148,1,0.0135,628,7.854590257,271
BashoIV,1684,1,1194311,1195117,At1g04420,613,0.526315789,0.01352,804,2.191352881,279
BashoII,1592,1,21983963,21984510,At1g59740,1116,0.59375,0.01356,547,4.641444752,229
BashoII,111,2,1669789,1670329,At2g04880,784,NA,0.01358,540,4.883025476,220
BashoII,589,5,9866847,9867705,At5g27840,2015,1,0.01376,858,5.205909669,203
BashoII,1728,2,9898327,9898825,At2g23340,971,NA,0.01381,498,5.490821034,244
BashoII,402,2,394587,396550,At2g01950,434,1,0.01391,1963,9.700270088,213
BashoV,205,4,1777276,1778169,At4g03820,2898,0.896551724,0.01392,891,5.88137508,212
BashoII,1659,1,22257536,22258078,At1g60350,457,0.931818182,0.01395,542,4.683758479,244
BashoIV,1686,1,3023486,3024293,At1g09520,721,NA,0.01407,805,3.837470559,278
BashoII,808,1,17566534,17567108,At1g47700,2030,NA,0.0141,574,3.941267532,218
BashoV,209,2,10358654,10359540,At2g24330,2008,NA,0.01413,884,5.570564259,244
BashoII,593,4,12698513,12699371,At4g24590,467,0.977272727,0.01423,858,2.410194643,279
BashoI,358,1,16593198,16595554,At1g43810,9958,1,0.01429,2354,3.862637952,199
BashoII,729,2,13893011,13893551,At2g32850,352,1,0.01432,540,4.284180109,283
BashoV,212,5,24452938,24453832,At5g60870,1859,1,0.01441,892,5.083712464,285
BashoI,560,5,13564243,13566471,At5g35390,15243,NA,0.01463,2226,5.395948828,183
BashoI,562,3,10510759,10512990,At3g28180,455,NA,0.01463,2229,4.334662896,215
BashoII,1760,3,4579246,4579711,At3g13890,1212,NA,0.01473,465,2.886528918,270
BashoII,389,5,16373705,16375771,At5g40830,622,1,0.0148,2066,4.628125828,275
BashoI,362,2,10025177,10027535,At2g23680,197,0.588235294,0.01497,2356,5.519324868,237
BashoII,1259,4,8063574,8065698,At4g14070,1001,NA,0.01498,2124,6.780128956,252
BashoII,230,4,7383413,7384277,At4g12545,1561,0.517241379,0.01504,864,6.869271776,257
BashoII,1673,5,16888153,16888706,At5g42320,1484,1,0.01506,553,4.426773217,264
BashoV,1606,3,20886584,20887459,At3g56430,87,NA,0.01506,873,5.074713144,278
BashoIII,457,4,6505632,6506262,At4g10600,2334,0.657894737,0.0151,630,6.659864747,229
BashoV,769,5,347014,347799,At5g01890,2367,NA,0.01514,783,9.523298117,255
BashoII,1095,5,5427960,5430063,At5g16580,485,NA,0.01515,2103,4.432610333,283
BashoII,732,5,26804333,26804878,At5g67260,178,1,0.01518,545,10.25245732,204
BashoIII,1109,1,10597653,10598298,At1g30250,453,0.225806452,0.01525,645,4.347796015,242
BashoII,28,5,9068184,9068736,At5g25970,207,NA,0.01525,552,5.025540193,219
BashoV,765,2,6304289,6305068,At2g14790,950,NA,0.01527,777,3.181335768,183
BashoII,228,3,6940606,6941488,At3g19940,625,NA,0.0153,882,4.703175054,278
BashoI,355,5,2186838,2189207,At5g07190,1138,1,0.01531,2367,6.225225435,289
BashoV,415,5,10072262,10072852,At5g28060,1466,1,0.01531,588,5.247462529,175
BashoII,590,5,17415129,17415975,At5g43410,1171,0.452380952,0.01542,846,4.212619728,243
BashoII,129,2,1321968,1322851,At2g04090,9065,NA,0.0156,883,5.905810685,247
BashoI,237,2,8427640,8430021,At2g19440,752,0.59375,0.01562,2379,4.825062417,264
BashoII,404,2,17260237,17262309,At2g41380,273,1,0.01562,2072,3.342352844,261
BashoII,1670,2,6213678,6214231,At2g14550,1849,NA,0.01562,553,3.109591249,178
BashoIV,1685,1,18697671,18698474,At1g50300,479,NA,0.01587,801,4.08342323,267
BashoIV,1692,3,16196360,16197164,At3g44690,2089,0.452380952,0.01618,802,2.23937409,194
BashoVI,505,4,4685637,4686071,At4g07932,5832,NA,0.01622,432,5.485287304,198
BashoII,394,4,11360883,11362955,At4g21430,1164,0.425531915,0.01626,2072,3.688373147,267
BashoII,109,4,15441658,15442198,At4g31910,87,1,0.01627,540,6.096480023,265
BashoII,2016,4,6339469,6340012,At4g10160,2172,NA,0.01658,543,6.584301564,224
BashoII,772,5,15676100,15676653,At5g39110,288,0.75,0.01661,553,4.879509838,260
BashoII,810,4,14457718,14458288,At4g29570,540,NA,0.01661,570,3.218863006,270
BashoII,120,5,9298131,9298901,At5g26640,1524,NA,0.01676,770,5.07989697,225
BashoII,1261,5,19757742,19759837,At5g48670,726,NA,0.01676,2095,3.353022656,258
BashoII,1101,5,15621900,15623829,At5g39100,228,1,0.01684,1929,4.897706617,258
BashoII,1663,1,27306245,27306798,At1g72350,774,1,0.01704,553,4.277655621,282
BashoI,363,4,1280651,1283009,At4g02890,987,0.470588235,0.01753,2356,6.990763744,236
BashoV,1605,5,19097777,19098655,At5g47100,577,1,0.01756,876,3.556476806,268
BashoIV,1701,2,8109773,8110580,At2g18690,4073,1,0.01762,805,4.611608721,258
BashoIII,1000,5,9362606,9363781,At5g26617,1615,1,0.01767,1175,5.094849772,229
BashoII,786,1,8189956,8190546,At1g23090,1013,NA,0.01768,590,4.728059628,269
BashoI,559,5,15402831,15405068,At5g38430,446,1,0.01819,2235,4.96900703,242
BashoIII,1108,4,9283792,9284437,At4g16563,1214,1,0.0182,645,6.050235945,262
BashoII,115,3,422687,423198,At3g02320,994,NA,0.01825,511,7.777337187,288
BashoV,413,4,348073,348704,At4g00930,596,1,0.01832,629,10.56822104,231
BashoII,385,5,16390229,16391078,At5g40860,1016,NA,0.01838,849,4.621833966,275
BashoII,1091,1,4785595,4787251,At1g14130,2333,NA,0.01838,1656,4.606150039,288
BashoII,728,2,12563733,12564280,At2g29370,953,0.297297297,0.0184,547,5.081488171,247
BashoV,2044,2,19535013,19535918,At2g47800,1006,0.945945946,0.01841,903,7.528895373,188
BashoII,1729,2,8914592,8915076,At2g20650,494,NA,0.01846,484,5.109081254,295
BashoII,664,3,20797381,20799426,At3g56160,311,0.256410256,0.01853,2045,5.114149793,278
BashoIII,575,2,715663,716837,At2g02730,848,1,0.01856,1174,8.196587563,250
BashoII,1730,2,17999622,18000105,At2g43290,590,NA,0.01888,483,4.019024386,311
BashoII,114,3,11133441,11133981,At3g29160,694,NA,0.01891,540,3.922396951,209
BashoII,38,3,14068112,14068672,At3g33572,1027,1,0.01904,560,2.132090508,167
BashoII,1662,1,5899200,5899746,At1g17240,490,1,0.01907,546,4.795290256,300
BashoII,780,4,6426615,6427206,At4g10370,1012,1,0.01908,591,6.62518943,223
BashoII,48,1,23190659,23191218,At1g62460,2074,1,0.01915,559,4.803261399,249
BashoII,30,2,5044835,5045394,At2g12420,9869,0.886363636,0.01918,559,2.331854737,212
BashoII,119,4,8899077,8899962,At4g15570,221,0.325581395,0.01924,885,6.355152994,257
BashoIV,1690,5,10187487,10188287,At5g28260,303,1,0.01925,798,5.269659105,171
BashoV,766,3,3873827,3874568,At3g12320,2127,1,0.01954,739,2.383645977,291
BashoIII,456,1,11987760,11988388,At1g33080,109,0.581395349,0.01958,628,4.117920616,242
BashoII,396,4,5539315,5541384,At4g08760,1044,NA,0.01958,2069,6.102880283,188
BashoII,747,3,5590767,5591641,At3g16450,969,0.086956522,0.01961,874,3.75205464,294
BashoII,124,3,16688603,16689487,At3g45570,263,NA,0.01961,884,2.502096183,233
BashoII,41,3,18644930,18645474,At3g50370,195,NA,0.01964,544,4.127475166,278
BashoII,789,1,5531296,5531882,At1g16140,47,0.93877551,0.01975,586,4.753372157,301
BashoII,746,3,18506134,18507015,At3g50020,877,1,0.01982,881,4.00096629,270
BashoII,785,1,25423355,25423945,At1g67770,1412,NA,0.02003,590,4.810187482,231
BashoII,1260,4,999922,1002001,At4g02390,653,0.090909091,0.02012,2079,7.843388896,255
BashoII,783,4,6894983,6895536,At4g11410,176,0.666666667,0.02015,553,6.794585014,236
BashoII,735,1,10021401,10021946,At1g28500,1065,0.5,0.02022,545,4.448126151,275
BashoII,1593,1,4770113,4770660,At1g14070,2968,1,0.02031,547,4.602120063,288
BashoIV,1694,3,18938948,18939716,At3g51090,1082,NA,0.02035,766,4.387449941,284
BashoVI,507,4,2316088,2316520,At4g04660,8547,1,0.02053,430,5.162622979,205
BashoVI,1564,3,14796182,14796535,At3g42712,2707,NA,0.02053,351,1.982105597,231
BashoII,1590,5,19118787,19119334,At5g47040,2882,0.177777778,0.02055,547,3.549290015,270
BashoII,125,3,16913319,16914184,At3g46170,811,NA,0.02057,865,2.64870404,257
BashoVI,261,1,17000837,17001249,At1g45090,767,NA,0.02063,410,3.890146912,207
BashoII,395,4,1349587,1351655,At4g03170,325,NA,0.0207,2068,6.807638224,228
BashoII,384,2,7183823,7184669,At2g16670,2837,NA,0.02072,846,3.900279694,254
BashoIII,1113,2,4478900,4479530,At2g11230,2589,0.310344828,0.02076,630,2.125672324,217
BashoI,352,5,13636848,13639199,At5g35450,12964,NA,0.0208,2349,5.385599215,185
BashoII,35,2,4032498,4033028,At2g10500,2266,1,0.02082,530,2.085565618,190
BashoII,43,3,6728932,6729503,At3g19530,88,1,0.02089,571,4.586393589,274
BashoII,730,3,7980091,7980638,At3g22530,1714,NA,0.02117,547,5.04908227,263
BashoII,112,2,19630174,19630715,At2g48110,635,NA,0.02129,541,7.864558627,162
BashoII,731,5,8748930,8749468,At5g25350,309,0.205128205,0.02139,538,4.948180899,211
BashoII,807,5,26032544,26033091,At5g65120,814,1,0.02148,547,8.082962474,275
BashoII,25,5,24466041,24466600,At5g60900,1465,1,0.02154,559,5.101712859,286
BashoII,37,3,11091678,11092237,At3g29110,4550,0.8,0.02159,559,3.951443086,203
BashoII,1098,5,21793014,21794254,At5g53770,79,1,0.0216,1240,3.20004282,264
BashoI,561,5,14020016,14022250,At5g35830,1370,0.258064516,0.02163,2232,5.321626194,171
BashoVI,500,5,26250343,26250753,At5g65700,3610,0.256410256,0.02182,408,8.643305353,276
BashoII,349,1,28226559,28227844,At1g74990,786,NA,0.02219,1285,3.748176435,293
BashoV,1576,2,17306501,17307511,At2g41480,733,0.884615385,0.02221,1008,3.369814985,265
BashoV,764,2,1902863,1903641,At2g05230,928,1,0.02221,776,4.304688596,221
BashoII,774,5,19496809,19497366,At5g48060,705,0.466666667,0.02248,557,3.427504157,270
BashoII,777,2,10246018,10246569,At2g24080,159,0.666666667,0.0227,551,5.557117027,244
BashoIV,1698,4,5836370,5837162,At4g09250,2596,1,0.02271,790,6.300582743,200
BashoIV,1689,5,16228592,16229396,At5g40600,1193,0.945945946,0.02273,802,4.682783689,269
BashoIV,1688,5,5801283,5802089,At5g17600,164,1,0.02273,804,4.42627739,275
BashoII,2015,5,14120898,14121436,At5g36010,737,1,0.0229,538,5.302206562,166
BashoVI,504,4,12713710,12714144,At4g24760,785,0.928571429,0.02295,432,2.401667573,282
BashoV,1607,2,241105,241922,At2g01660,374,NA,0.02303,815,10.4964176,174
BashoII,222,1,21193518,21194392,At1g56420,3757,NA,0.02332,874,4.507986516,307
BashoII,634,5,20697543,20699626,At5g50820,311,NA,0.02334,2083,3.171448237,261
BashoIII,462,5,18936822,18937449,At5g46750,358,0.761904762,0.02335,627,3.612811628,270
BashoII,229,4,8819838,8820688,At4g15415,489,1,0.02335,850,6.409837734,259
BashoII,122,5,20295871,20296724,At5g49970,2807,NA,0.02344,853,3.230240044,254
BashoII,1672,5,14827506,14828054,At5g37460,2021,0.971428571,0.02351,548,5.137443025,187
BashoII,220,5,22038201,22039085,At5g54350,1480,NA,0.02351,884,3.252830728,274
BashoIII,1002,3,9665584,9666740,At3g26390,397,1,0.02388,1156,4.782863033,263
BashoII,638,1,7035187,7037279,At1g20320,323,0.363636364,0.02394,2092,4.821164013,276
BashoII,782,4,7905773,7906362,At4g13590,1985,NA,0.02394,589,6.821500843,254
BashoV,214,3,5792505,5793396,At3g16960,235,1,0.02406,889,3.91953608,290
BashoII,1675,3,4584765,4585303,At3g14000,855,1,0.02415,538,2.891032053,272
BashoII,1595,3,17412987,17413535,At3g47250,436,1,0.02417,548,3.025924328,256
BashoII,796,3,15929082,15929672,At3g44210,763,0.8125,0.02418,590,2.133014499,188
BashoVI,516,1,9062073,9062506,At1g26190,1653,0.971428571,0.02428,431,4.607254737,260
BashoIII,1555,5,16033738,16034904,At5g40170,2542,1,0.02446,1166,4.754352786,273
BashoIV,1693,3,10418105,10418908,At3g28130,235,0.931034483,0.02447,801,4.391151447,225
BashoII,1666,1,540434,540985,At1g02710,395,0.80952381,0.02448,551,1.333752269,311
BashoIV,71,4,5478341,5479105,At4g08596,426,1,0.02466,762,6.060325941,191
BashoII,128,2,9462419,9463243,At2g22240,1401,NA,0.02472,824,5.355866757,271
BashoII,392,5,14097994,14100063,At5g35930,6360,0.261904762,0.02512,2069,5.306708405,168
BashoII,39,3,19447852,19448411,At3g52440,684,0.75,0.02518,559,4.787174853,297
BashoII,733,5,6419830,6420377,At5g19130,835,0.97826087,0.0253,547,4.468446834,267
BashoIII,458,4,8836513,8837143,At4g15560,281,0.794871795,0.02553,630,6.398569381,257
BashoV,818,5,18571536,18573689,At5g45860,513,0.5,0.02564,2151,3.747920647,240
BashoII,36,3,10406635,10407195,At3g28080,2285,NA,0.02572,560,4.398037122,228
BashoIV,1700,4,6943758,6944549,At4g11540,573,NA,0.02574,789,6.80695107,239
BashoII,790,1,2587831,2588420,At1g08370,571,NA,0.02575,589,3.534874225,294
BashoIII,629,5,3903109,3904242,At5g12080,2185,1,0.02588,1133,4.808762925,262
BashoII,1733,5,22480944,22481427,At5g55560,549,NA,0.02588,483,3.399755845,288
BashoII,45,3,3080031,3080594,At3g10000,1119,0.931818182,0.02593,563,2.128889337,315
BashoVI,509,3,18987702,18988135,At3g51240,1037,1,0.02601,431,4.429016523,285
BashoII,221,1,9418051,9418930,At1g27250,2446,0.636363636,0.02613,879,4.550314807,250
BashoII,219,5,14096656,14097506,At5g35930,5022,0.413043478,0.02655,850,5.306969711,168
BashoIII,1764,5,15903839,15904404,At5g39680,243,0.971428571,0.02655,565,4.800791068,265
BashoII,223,1,11669338,11670223,At1g32350,789,0.673913043,0.02658,885,4.167415284,240
BashoII,635,5,24203053,24205125,At5g60050,563,1,0.02662,2072,4.759878938,296
BashoIII,455,1,26617101,26617722,At1g70550,379,0.318181818,0.02665,621,4.548489941,259
BashoII,108,5,16730081,16730619,At5g41880,3161,NA,0.02666,538,4.489720091,265
BashoII,1661,1,20270885,20271429,At1g54250,1179,1,0.02704,544,4.343380547,272
BashoII,22,4,5391730,5392278,At4g08480,226,0.8125,0.02717,548,5.998991414,188
BashoII,52,1,13496641,13497199,At1g36100,214,0.916666667,0.0274,558,3.927724486,179
BashoII,343,5,24492518,24493815,At5g60840,869,1,0.02746,1297,5.138402362,281
BashoII,47,1,12097438,12097996,At1g33360,1669,1,0.02808,558,4.101489348,240
BashoIV,1691,5,21191653,21192443,At5g52110,474,1,0.02811,788,3.146258472,277
BashoII,127,2,3197616,3198497,At2g07749,1967,NA,0.02817,881,2.401176911,224
BashoII,631,5,23679231,23679804,At5g58530,756,1,0.02818,573,4.194500057,308
BashoII,784,1,19807075,19807662,At1g52990,185,NA,0.02828,587,4.261923059,257
BashoII,587,3,4467626,4468464,At3g13760,977,1,0.02852,838,2.796819314,274
BashoII,1754,2,9867036,9867592,At2g23150,1391,NA,0.02854,556,5.483033503,242
BashoII,339,4,370789,372084,At4g00970,1971,0.975,0.02857,1295,10.45391068,234
BashoII,118,4,17501309,17502199,At4g37170,660,NA,0.02861,890,21.91632569,264
BashoII,46,3,16734135,16734663,At3g45560,476,1,0.02863,528,2.530524821,241
BashoII,895,5,24603859,24604281,At5g61250,383,NA,0.02869,422,5.297370608,275
BashoII,1264,3,10820604,10822677,At3g28860,1031,1,0.02902,2073,4.135718902,207
BashoII,1677,3,10719032,10719576,At3g28700,118,1,0.02926,544,4.202493842,209
BashoV,767,3,4216380,4217126,At3g13110,259,1,0.02927,744,2.606629081,284
BashoII,453,1,26576196,26576749,At1g70360,1346,0.720930233,0.02983,553,4.561561106,266
BashoVII,86,4,5546717,5548707,At4g08770,1853,NA,0.02984,2124,5.385938733,184
BashoVI,268,5,15230130,15230551,At5g38210,452,0.882352941,0.02997,419,5.022540963,233
BashoIII,628,2,8243346,8244498,At2g18980,970,0.88372093,0.03012,1152,4.703736111,257
BashoII,1678,3,16416183,16416736,At3g44930,682,1,0.03017,553,2.34632614,205
BashoIV,1687,1,19845831,19846560,At1g53170,338,1,0.03056,727,4.26862697,262
BashoII,27,5,3566354,3566875,At5g11190,302,1,0.03066,521,4.989113148,276
BashoVI,1565,4,4875739,4876056,At4g08060,11053,NA,0.03068,315,5.622679362,183
BashoVII,1034,5,9371976,9374095,At5g26790,1364,1,0.0307,315,5.622679362,183
BashoII,636,5,4780214,4782229,At5g14780,1021,1,0.03072,2015,4.515096832,294
BashoII,823,1,21401475,21402014,At1g57750,962,NA,0.03076,539,4.544288103,294
BashoII,748,3,8328655,8329446,At3g23295,757,1,0.03086,791,5.075678673,240
BashoVI,518,1,8723103,8723497,At1g24807,382,1,0.03088,392,4.65791341,273
BashoVII,595,5,13530140,13532330,At5g35280,2380,NA,0.031,409,5.387250041,183
BashoII,1599,5,19131809,19132360,At5g47190,1710,1,0.03116,551,3.544855923,269
BashoIII,816,4,18425753,18426660,At4g39810,583,0.956521739,0.03142,907,35.14849039,205
BashoII,126,1,3250620,3251449,At1g10100,961,NA,0.03157,829,3.975696682,272
BashoII,398,3,15948275,15950312,At3g44310,859,0.90625,0.0316,2037,2.139766968,187
BashoII,383,2,14578975,14579824,At2g34680,427,0.638297872,0.03203,849,3.840941355,301
BashoII,822,4,13123917,13124461,At4g25790,618,NA,0.03203,544,2.249551743,293
BashoVI,264,5,13625530,13625941,At5g35400,6060,NA,0.03207,409,5.387250041,183
BashoII,51,1,21804604,21805166,At1g58520,912,1,0.03209,562,4.612415713,292
BashoVI,501,3,538793,539200,At3g02730,831,NA,0.03219,405,7.183783022,311
BashoII,737,1,11803525,11804072,At1g32640,2632,0.555555556,0.0322,547,4.14625018,241
BashoIV,1699,4,18232325,18233079,At4g39280,566,1,0.03229,752,31.99261132,253
BashoII,1036,4,8947217,8947756,At4g15715,1546,NA,0.03241,539,6.32053499,254
BashoII,1037,2,9232558,9233103,At2g21720,1186,NA,0.03249,545,5.262373229,286
BashoIII,461,3,10050152,10050784,At3g27210,1693,1,0.03254,632,4.598953702,250
BashoII,345,3,17740927,17742215,At3g48150,331,1,0.03262,1288,3.304271671,255
BashoIII,484,3,10178015,10179012,At3g27610,325,1,0.03281,997,4.529954712,237
BashoII,400,1,8114761,8116806,At1g23040,704,1,0.0331,2045,4.736815981,270
BashoVI,260,2,11135891,11136294,At2g26130,590,1,0.03336,401,5.55620665,226
BashoV,2080,4,11978733,11979612,At4g22800,559,0.826086957,0.03342,877,2.99534855,263
BashoIII,460,3,22226302,22226932,At3g60240,796,NA,0.0335,630,2.938986537,276
BashoII,26,5,5625063,5625622,At5g17100,360,1,0.03406,559,4.425921091,286
BashoII,775,5,14890688,14891250,At5g37475,5709,1,0.03432,562,5.120369688,200
